Prompt,Response,,,,,,,,,,,,,,,,
What are civil law disputes?,"Civil law deals with disputes between individuals or organizations, such as contracts, property disputes, and torts. Civil cases usually involve a plaintiff seeking compensation or another remedy. Civil procedures are governed by the Code of Civil Procedure (CPC).",,,,,,,,,,,,,,,,
How do civil law cases work?,"Civil law deals with disputes between individuals or organizations, such as contracts, property disputes, and torts. Civil cases usually involve a plaintiff seeking compensation or another remedy. Civil procedures are governed by the Code of Civil Procedure (CPC).",,,,,,,,,,,,,,,,
Civil law in India,"Civil law deals with disputes between individuals or organizations, such as contracts, property disputes, and torts. Civil cases usually involve a plaintiff seeking compensation or another remedy. Civil procedures are governed by the Code of Civil Procedure (CPC).",,,,,,,,,,,,,,,,
How much is the court filing fee?,"Court filing fees vary based on the type of case, the court jurisdiction, and the financial claims involved. You can check the specific court's website or the eCourts portal to determine the fees applicable for different types of cases.",,,,,,,,,,,,,,,,
What are the charges for filing a case?,"Court filing fees vary based on the type of case, the court jurisdiction, and the financial claims involved. You can check the specific court's website or the eCourts portal to determine the fees applicable for different types of cases.",,,,,,,,,,,,,,,,
Court fee for different cases,"Court filing fees vary based on the type of case, the court jurisdiction, and the financial claims involved. You can check the specific court's website or the eCourts portal to determine the fees applicable for different types of cases.",,,,,,,,,,,,,,,,
How do I qualify for legal aid?,"Eligibility for legal aid is based on various factors such as income, gender, and social status. In general, individuals belonging to marginalized sections of society, including women, children, persons with disabilities, and those below the poverty line, are eligible. You can apply through the National Legal Services Authority (NALSA) or visit the nearest District Legal Services Authority.",,,,,,,,,,,,,,,,
What are the eligibility criteria for free legal aid?,"Eligibility for legal aid is based on various factors such as income, gender, and social status. In general, individuals belonging to marginalized sections of society, including women, children, persons with disabilities, and those below the poverty line, are eligible. You can apply through the National Legal Services Authority (NALSA) or visit the nearest District Legal Services Authority.",,,,,,,,,,,,,,,,
Can I get free legal representation?,"Eligibility for legal aid is based on various factors such as income, gender, and social status. In general, individuals belonging to marginalized sections of society, including women, children, persons with disabilities, and those below the poverty line, are eligible. You can apply through the National Legal Services Authority (NALSA) or visit the nearest District Legal Services Authority.",,,,,,,,,,,,,,,,
How to find out my court hearing date?,"You can check your court hearing schedule by visiting the eCourts portal or using the eCourts Services mobile app. By entering your case number, advocate name, or party name, you can get the next hearing date and relevant updates.",,,,,,,,,,,,,,,,
Where can I check my next court hearing?,"You can check your court hearing schedule by visiting the eCourts portal or using the eCourts Services mobile app. By entering your case number, advocate name, or party name, you can get the next hearing date and relevant updates.",,,,,,,,,,,,,,,,
Court hearing schedule details,"You can check your court hearing schedule by visiting the eCourts portal or using the eCourts Services mobile app. By entering your case number, advocate name, or party name, you can get the next hearing date and relevant updates.",,,,,,,,,,,,,,,,
How do I file a complaint against a government official?,"To file a complaint against a government official or agency, you can approach the Public Grievances Portal or file a written complaint with the relevant department. For specific legal grievances, you may need to file a formal complaint in court or consult with a legal advisor.",,,,,,,,,,,,,,,,
Steps to file a complaint against an agency,"To file a complaint against a government official or agency, you can approach the Public Grievances Portal or file a written complaint with the relevant department. For specific legal grievances, you may need to file a formal complaint in court or consult with a legal advisor.",,,,,,,,,,,,,,,,
Procedure to complain about government misconduct,"To file a complaint against a government official or agency, you can approach the Public Grievances Portal or file a written complaint with the relevant department. For specific legal grievances, you may need to file a formal complaint in court or consult with a legal advisor.",,,,,,,,,,,,,,,,
What is the witness protection program?,"The Witness Protection Scheme provides safeguards for witnesses involved in criminal cases. Individuals who feel threatened or face intimidation due to their involvement as witnesses can apply for protection through the police or the court. The program offers physical security, relocation, and identity protection.",,,,,,,,,,,,,,,,
How can I get witness protection?,"The Witness Protection Scheme provides safeguards for witnesses involved in criminal cases. Individuals who feel threatened or face intimidation due to their involvement as witnesses can apply for protection through the police or the court. The program offers physical security, relocation, and identity protection.",,,,,,,,,,,,,,,,
Can witnesses get legal protection?,"The Witness Protection Scheme provides safeguards for witnesses involved in criminal cases. Individuals who feel threatened or face intimidation due to their involvement as witnesses can apply for protection through the police or the court. The program offers physical security, relocation, and identity protection.",,,,,,,,,,,,,,,,
How do I access court records?,"Court records can be accessed through the eCourts portal or by submitting a request at the court where the case was heard. You may need to pay a nominal fee for copies of judgments, orders, or case documents.",,,,,,,,,,,,,,,,
Where can I get copies of court documents?,"Court records can be accessed through the eCourts portal or by submitting a request at the court where the case was heard. You may need to pay a nominal fee for copies of judgments, orders, or case documents.",,,,,,,,,,,,,,,,
